SMILES,Hit
CC(=O)Nc1cccc(/C(C)=N\NC(=O)CSCc2ccccc2Cl)c1,0
COc1cccc(NC(=O)C(=O)N/N=C/c2ccc(OCc3ccccc3)c(OC)c2)c1,0
COC(=O)c1ccccc1NC(=O)Cn1nc2c3cc(-c4ccc(OC)cc4)nn3ccn2c1=O,0
O=C(Cn1nc2c(Oc3ccccc3)nccn2c1=O)Nc1ccccc1Cl,0
Cc1cccc(Oc2nccn3c(=O)n(CC(=O)Nc4ccccc4C(F)(F)F)nc23)c1C,0
Cc1ccc(-c2cc3c4nn(CC(=O)Nc5ccccc5Cl)c(=O)n4ccn3n2)cc1,0
O=C(Cn1nc2c3cc(-c4ccc(Cl)cc4)nn3ccn2c1=O)NCc1ccccc1,0
CC(=O)Oc1ccccc1C(=O)Oc1ccc(/C=N/N=C/c2ccc(OC(=O)c3ccccc3OC(C)=O)cc2)cc1,0
O=C(N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccco1,0
CCCCCCCCCCOc1ccc(C(=O)N/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)cc1,0
CSc1ccc(Cl)c(C(=O)NCCOc2ccccc2F)c1,0
CCCCCOc1ccc(NC(=O)C(=O)N/N=C/c2ccc(OC)c(OC)c2)cc1,0
CC(C)c1ccc([C@H]2[C@@H]3CCCC=C3C(C#N)C(=N)C2(C#N)C#N)cc1,0
C=Cc1ccc(CSc2nnc3c(=O)n(-c4cccc(OC)c4)ccn23)cc1,0
Cc1c(Cl)cccc1-n1ccn2c(=O)n(Cc3ccc(Cl)cc3)nc2c1=O,0
Cc1cccc(C)c1NC(=O)Cn1nc2c3c4c(sc3ncn2c1=O)CCCC4,0
CCOc1ccc(-n2ccn3c(SC(C)C(=O)Nc4ccc5c(c4)OCCO5)nnc3c2=O)cc1,0
CN(C)c1ccc(/C=N/c2nc(C(F)(F)F)c(-c3ccc(Cl)cc3)s2)cc1,0
CC(O)C(NC(=O)OCc1ccccc1)C(=O)N/N=C/c1ccc(F)cc1,0
O=C(N/N=C/c1ccc(OC(=O)c2ccco2)c([N+](=O)[O-])c1)c1cncc(Br)c1,1
C=Cc1ccc(Cn2nc3c(=O)n(-c4ccc(C)c(C)c4)ccn3c2=O)cc1,0
CCc1nnc2c(=O)n(CC(=O)Nc3ccc(Br)cc3F)c3ccccc3n12,0
COc1ccc(NC(=O)Cn2nc3c(Sc4ccccc4)nccn3c2=O)c(OC)c1,0
COc1cccc(-n2ccn3c(SCC(=O)Nc4ccc(C(C)C)cc4)nnc3c2=O)c1,0
CC(C)Sc1ccc2nn(CC(=O)Nc3ccc(Br)cc3F)c(=O)n2n1,0
COc1ccc(NC(=S)Oc2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)cc1,0
O=C(NCCc1ccccc1)C(=O)N/N=C/c1cc2c(cc1Br)OCO2,0
C=CCOc1ccc(/C=N/NC(=O)C(=O)Nc2cccc(OC)c2)cc1OC,0
COc1ccc(C)cc1NC(=O)CC(C)=NNC(=O)c1ccc(Cl)cc1Cl,0
O=c1cc(O)[nH]c2c1sc1nc(-c3cccs3)cc(-c3ccc(F)cc3)c12,0
Cc1nn(-c2ccccc2)c2c1C(c1ccc(C(C)C)cc1)C(C#N)C(=N)O2,0
CCOC(=O)C1=C(CSc2nc(C)c(C)c(C)c2C#N)OC(=N)C(C#N)C1c1cccs1,0
COc1ccccc1C1C(C(=O)OC(C)C)=C(CSc2nc(C)c(C)c(C)c2C#N)OC(=N)C1C#N,0
CC(CC(=O)Nc1ccccc1F)=NNC(=O)C(=O)NCCO,0
